"Participant","Illusion_Type","Trial","RT","Error","Illusion_Strength","Illusion_Difference"
"S01","Ponzo",3,1.446,1,25,0.16
"S01","Ponzo",4,1.911,1,8.33333333333334,0.04
"S01","Ponzo",7,0.933,0,8.33333333333334,0.28
"S01","Ponzo",11,0.784,0,16.6666666666667,0.4
"S01","Ponzo",12,2.098,1,25,0.04
"S01","Ponzo",16,1.167,0,16.6666666666667,0.28
"S01","Ponzo",17,2.081,0,16.6666666666667,0.16
"S01","Ponzo",19,1.671,1,8.33333333333334,0.04
"S01","Ponzo",20,0.885,0,8.33333333333334,0.4
"S01","Ponzo",21,0.901,0,16.6666666666667,0.4
"S01","Ponzo",23,3.047,0,25,0.28
"S01","Ponzo",24,1.057,0,25,0.4
"S01","Ponzo",26,2.524,0,8.33333333333334,0.16
"S01","Ponzo",32,1.49,0,16.6666666666667,0.28
"S01","Ponzo",36,1.529,1,16.6666666666667,0.04
"S01","Ponzo",40,0.868,0,8.33333333333334,0.28
"S01","Ponzo",41,0.992,0,8.33333333333334,0.16
"S01","Ponzo",44,1.942,1,25,0.16
"S01","Ponzo",46,2.083,1,25,0.04
"S01","Ponzo",48,1.776,1,16.6666666666667,0.04
"S01","Ponzo",50,1.531,1,25,0.28
"S01","Ponzo",51,1.562,0,25,0.4
"S01","Ponzo",52,1.812,0,16.6666666666667,0.16
"S01","Ponzo",55,1.492,0,8.33333333333334,0.4
"S01","Ebbinghaus",1,1.275,0,1.4,0.56
"S01","Ebbinghaus",2,0.905,0,2.1,0.56
"S01","Ebbinghaus",3,2.199,1,1.4,0.08
"S01","Ebbinghaus",14,1.758,0,1.4,0.08
"S01","Ebbinghaus",17,0.692,0,0.7,0.56
"S01","Ebbinghaus",18,1.214,1,2.1,0.08
"S01","Ebbinghaus",21,1.564,0,1.4,0.32
"S01","Ebbinghaus",23,0.684,0,0.7,0.8
"S01","Ebbinghaus",32,2.177,0,0.7,0.08
"S01","Ebbinghaus",34,2.424,1,2.1,0.08
"S01","Ebbinghaus",36,0.491,0,2.1,0.8
"S01","Ebbinghaus",40,0.489,0,2.1,0.8
"S01","Ebbinghaus",41,0.832,0,0.7,0.32
"S01","Ebbinghaus",43,0.737,0,0.7,0.8
"S01","Ebbinghaus",44,2.155,0,2.1,0.32
"S01","Ebbinghaus",45,2.67,1,0.7,0.08
"S01","Ebbinghaus",46,0.606,0,0.7,0.56
"S01","Ebbinghaus",47,0.614,0,1.4,0.8
"S01","Ebbinghaus",50,0.886,0,0.7,0.32
"S01","Ebbinghaus",51,0.637,0,1.4,0.8
"S01","Ebbinghaus",52,1.114,0,2.1,0.56
"S01","Ebbinghaus",54,0.57,0,1.4,0.56
"S01","Ebbinghaus",55,0.988,0,1.4,0.32
"S01","Ebbinghaus",56,1.007,0,2.1,0.32
"S01","Vertical-Horizontal",1,2.276,1,60,0.03
"S01","Vertical-Horizontal",2,1.112,0,30,0.03
"S01","Vertical-Horizontal",4,0.998,0,90,0.21
"S01","Vertical-Horizontal",8,1.226,0,90,0.03
"S01","Vertical-Horizontal",13,1.069,1,90,0.12
"S01","Vertical-Horizontal",15,0.676,1,60,0.12
"S01","Vertical-Horizontal",19,0.856,0,30,0.21
"S01","Vertical-Horizontal",20,1.267,1,30,0.03
"S01","Vertical-Horizontal",23,2.264,1,60,0.21
"S01","Vertical-Horizontal",28,2.294,0,30,0.21
"S01","Vertical-Horizontal",29,1.478,0,90,0.21
"S01","Vertical-Horizontal",30,1.197,1,90,0.03
"S01","Vertical-Horizontal",34,0.896,0,60,0.3
"S01","Vertical-Horizontal",38,0.994,0,30,0.3
"S01","Vertical-Horizontal",39,0.78,1,60,0.03
"S01","Vertical-Horizontal",41,1.26,1,30,0.12
"S01","Vertical-Horizontal",43,1.265,0,30,0.12
"S01","Vertical-Horizontal",46,1.13,0,60,0.3
"S01","Vertical-Horizontal",48,1.072,0,60,0.12
"S01","Vertical-Horizontal",50,0.925,0,90,0.3
"S01","Vertical-Horizontal",51,0.987,0,60,0.21
"S01","Vertical-Horizontal",52,0.599,0,90,0.3
"S01","Vertical-Horizontal",55,0.574,1,90,0.12
"S01","Vertical-Horizontal",56,0.656,0,30,0.3
"S01","Müller-Lyer",1,0.854,0,16.6666666666667,0.5
"S01","Müller-Lyer",2,0.87,1,33.3333333333333,0.05
"S01","Müller-Lyer",4,2.677,0,50,0.35
"S01","Müller-Lyer",7,1.801,1,16.6666666666667,0.05
"S01","Müller-Lyer",8,1.273,1,33.3333333333333,0.35
"S01","Müller-Lyer",13,2.012,0,33.3333333333333,0.5
"S01","Müller-Lyer",15,0.929,0,16.6666666666667,0.35
"S01","Müller-Lyer",17,1.587,0,16.6666666666667,0.5
"S01","Müller-Lyer",19,0.871,1,50,0.05
"S01","Müller-Lyer",21,1.44,0,33.3333333333333,0.5
"S01","Müller-Lyer",22,2.691,0,50,0.5
"S01","Müller-Lyer",24,1.375,1,50,0.35
"S01","Müller-Lyer",26,0.692,1,33.3333333333333,0.05
"S01","Müller-Lyer",27,0.856,1,16.6666666666667,0.2
"S01","Müller-Lyer",28,0.646,1,33.3333333333333,0.35
"S01","Müller-Lyer",40,1.576,0,16.6666666666667,0.35
"S01","Müller-Lyer",41,0.726,1,33.3333333333333,0.2
"S01","Müller-Lyer",44,0.512,1,33.3333333333333,0.2
"S01","Müller-Lyer",47,0.833,1,16.6666666666667,0.05
"S01","Müller-Lyer",48,2.545,0,16.6666666666667,0.2
"S01","Müller-Lyer",50,1.954,0,50,0.5
"S01","Müller-Lyer",51,3.828,1,50,0.2
"S01","Müller-Lyer",55,1.269,1,50,0.05
"S01","Müller-Lyer",56,0.614,1,50,0.2
"S01","Delboeuf",2,0.565,0,0.7,0.56
"S01","Delboeuf",3,0.832,0,2.1,0.56
"S01","Delboeuf",6,1.117,0,2.1,0.8
"S01","Delboeuf",7,1.785,0,2.1,0.32
"S01","Delboeuf",8,1.222,0,0.7,0.08
"S01","Delboeuf",9,1.843,1,1.4,0.08
"S01","Delboeuf",10,2.72,0,0.7,0.08
"S01","Delboeuf",12,0.851,0,0.7,0.32
"S01","Delboeuf",15,1.479,0,1.4,0.32
"S01","Delboeuf",18,0.943,0,1.4,0.56
"S01","Delboeuf",19,0.78,0,0.7,0.56
"S01","Delboeuf",22,1.802,0,2.1,0.08
"S01","Delboeuf",29,0.864,0,1.4,0.8
"S01","Delboeuf",31,0.738,0,1.4,0.8
"S01","Delboeuf",33,0.578,0,0.7,0.8
"S01","Delboeuf",35,1.276,0,1.4,0.56
"S01","Delboeuf",38,2.28,1,2.1,0.08
"S01","Delboeuf",40,1.521,0,1.4,0.32
"S01","Delboeuf",42,0.746,0,0.7,0.8
"S01","Delboeuf",44,0.885,0,2.1,0.32
"S01","Delboeuf",46,0.751,0,2.1,0.8
"S01","Delboeuf",48,1.416,0,1.4,0.08
"S01","Delboeuf",50,0.816,0,0.7,0.32
"S01","Delboeuf",53,1.005,0,2.1,0.56
"S01","Müller-Lyer",3,1.542,0,50,0.35
"S01","Müller-Lyer",4,2.087,0,33.3333333333333,0.2
"S01","Müller-Lyer",5,0.915,1,33.3333333333333,0.05
"S01","Müller-Lyer",13,1.71,0,16.6666666666667,0.2
"S01","Müller-Lyer",14,1.632,0,50,0.5
"S01","Müller-Lyer",18,1.151,1,16.6666666666667,0.2
"S01","Müller-Lyer",19,2.384,1,33.3333333333333,0.35
"S01","Müller-Lyer",22,0.84,1,50,0.05
"S01","Müller-Lyer",26,0.607,1,50,0.35
"S01","Müller-Lyer",29,1.53,0,33.3333333333333,0.5
"S01","Müller-Lyer",30,1.125,0,50,0.5
"S01","Müller-Lyer",31,1.443,1,33.3333333333333,0.2
"S01","Müller-Lyer",33,0.657,1,50,0.2
"S01","Müller-Lyer",35,0.53,1,50,0.2
"S01","Müller-Lyer",36,1.558,0,16.6666666666667,0.35
"S01","Müller-Lyer",37,0.885,1,16.6666666666667,0.05
"S01","Müller-Lyer",38,0.913,0,16.6666666666667,0.5
"S01","Müller-Lyer",39,0.781,1,33.3333333333333,0.05
"S01","Müller-Lyer",40,0.901,1,16.6666666666667,0.05
"S01","Müller-Lyer",42,0.965,0,16.6666666666667,0.35
"S01","Müller-Lyer",49,1.988,1,50,0.05
"S01","Müller-Lyer",53,3.196,0,33.3333333333333,0.35
"S01","Müller-Lyer",54,1.314,0,33.3333333333333,0.5
"S01","Müller-Lyer",55,0.861,0,16.6666666666667,0.5
"S01","Vertical-Horizontal",1,0.997,0,60,0.21
"S01","Vertical-Horizontal",2,0.656,0,30,0.3
"S01","Vertical-Horizontal",3,2.697,1,90,0.03
"S01","Vertical-Horizontal",7,1.23,1,60,0.21
"S01","Vertical-Horizontal",10,1.373,0,30,0.03
"S01","Vertical-Horizontal",14,1.355,1,30,0.21
"S01","Vertical-Horizontal",16,1.002,1,60,0.12
"S01","Vertical-Horizontal",17,1.881,1,90,0.03
"S01","Vertical-Horizontal",18,0.932,0,60,0.3
"S01","Vertical-Horizontal",21,0.981,0,30,0.3
"S01","Vertical-Horizontal",29,2.02,0,60,0.12
"S01","Vertical-Horizontal",30,1.16,1,30,0.03
"S01","Vertical-Horizontal",31,1.11,0,90,0.21
"S01","Vertical-Horizontal",33,0.858,1,60,0.03
"S01","Vertical-Horizontal",34,0.734,0,90,0.3
"S01","Vertical-Horizontal",37,1.158,0,60,0.3
"S01","Vertical-Horizontal",38,0.698,0,30,0.21
"S01","Vertical-Horizontal",39,0.683,0,90,0.21
"S01","Vertical-Horizontal",40,0.587,1,60,0.03
"S01","Vertical-Horizontal",43,1.284,0,90,0.12
"S01","Vertical-Horizontal",48,0.618,1,90,0.12
"S01","Vertical-Horizontal",50,1.408,0,90,0.3
"S01","Vertical-Horizontal",52,1.029,1,30,0.12
"S01","Vertical-Horizontal",55,1.286,0,30,0.12
"S01","Ebbinghaus",2,0.568,0,1.4,0.56
"S01","Ebbinghaus",11,1.954,0,1.4,0.32
